model,temperature,generation,ticks_survived,charge_efficiency,signs_written,vaults_attempted,vaults_solved
deepseek-r1:1.5b,0.2,2,12,0.0,0,0,0
deepseek-r1:1.5b,0.2,3,8,0.0,5,0,0
deepseek-r1:1.5b,0.2,4,11,0.0,0,0,0
deepseek-r1:1.5b,0.2,5,11,0.0,0,0,0
deepseek-r1:1.5b,0.2,6,9,0.0,0,1,0
deepseek-r1:1.5b,0.2,7,7,0.0,0,5,0
deepseek-r1:1.5b,0.2,8,8,0.0,0,0,0
deepseek-r1:1.5b,0.2,9,10,0.0,2,0,0
deepseek-r1:1.5b,0.2,10,9,0.0,0,0,0
deepseek-r1:1.5b,0.2,11,10,0.0,0,0,0
deepseek-r1:1.5b,0.2,12,10,0.0,0,0,0
deepseek-r1:1.5b,0.2,13,7,0.0,0,0,0
deepseek-r1:1.5b,0.2,14,11,0.0,0,0,0
deepseek-r1:1.5b,0.2,15,8,0.0,2,0,0
deepseek-r1:1.5b,0.2,16,9,0.0,0,0,0
deepseek-r1:1.5b,0.2,17,8,0.0,3,0,0
deepseek-r1:1.5b,0.2,18,6,0.0,0,0,0
deepseek-r1:1.5b,0.2,19,10,0.0,0,0,0
deepseek-r1:1.5b,0.2,20,8,0.0,0,0,0
deepseek-r1:1.5b,0.2,21,8,0.0,1,1,0
deepseek-r1:1.5b,0.2,22,8,0.0,6,0,0
deepseek-r1:1.5b,0.2,23,9,0.0,4,0,0
deepseek-r1:1.5b,0.2,24,8,0.0,2,0,0
deepseek-r1:1.5b,0.2,25,11,0.0,2,0,0
deepseek-r1:1.5b,0.2,26,9,0.0,3,0,0
deepseek-r1:1.5b,0.2,27,10,0.0,1,0,0
deepseek-r1:1.5b,0.2,28,9,0.0,0,0,0
deepseek-r1:1.5b,0.2,29,12,0.0,2,0,0
deepseek-r1:1.5b,0.2,30,11,0.0,0,0,0
deepseek-r1:1.5b,0.2,31,9,0.0,0,0,0
deepseek-r1:1.5b,0.2,32,7,0.0,1,3,0
deepseek-r1:1.5b,0.2,33,11,0.0,1,0,0
deepseek-r1:1.5b,0.2,34,9,0.0,3,0,0
deepseek-r1:1.5b,0.2,35,9,0.0,2,0,0
deepseek-r1:1.5b,0.2,36,10,0.0,0,0,0
deepseek-r1:1.5b,0.2,37,8,0.0,0,0,0
deepseek-r1:1.5b,0.2,38,7,0.0,5,0,0
deepseek-r1:1.5b,0.2,39,8,0.0,6,0,0
deepseek-r1:1.5b,0.2,40,6,0.0,0,5,0
deepseek-r1:1.5b,0.2,41,10,0.0,0,0,0
deepseek-r1:1.5b,0.2,42,9,0.0,2,1,0
deepseek-r1:1.5b,0.2,43,5,0.0,0,0,0
deepseek-r1:1.5b,0.2,44,6,0.0,0,5,0
deepseek-r1:1.5b,0.2,45,11,0.0,0,0,0
deepseek-r1:1.5b,0.2,46,11,0.0,0,0,0
deepseek-r1:1.5b,0.2,47,10,0.0,1,0,0
deepseek-r1:1.5b,0.2,48,11,0.0,2,0,0
deepseek-r1:1.5b,0.2,49,7,0.0,1,5,0
deepseek-r1:1.5b,0.2,50,9,0.0,0,0,0
llama3.2,0.2,1,34,0.131,0,0,0
llama3.2,0.2,2,25,0.0,0,2,0
llama3.2,0.2,3,26,0.0,0,0,0
llama3.2,0.2,4,27,0.0,0,0,0
llama3.2,0.2,5,17,0.0,0,4,0
